TIME	TEMP	VCCINT	VCCBRAM	VCCAUX	VP	VN	VAUXP[0]	VAUXN[0]	VAUXP[1]	VAUXN[1]	VAUXP[2]	VAUXN[2]	VAUXP[3]	VAUXN[3]	VAUXP[4]	VAUXN[4]	VAUXP[5]	VAUXN[5]	VAUXP[6]	VAUXN[6]	VAUXP[7]	VAUXN[7]	VAUXP[8]	VAUXN[8]	VAUXP[9]	VAUXN[9]	VAUXP[10]	VAUXN[10]	VAUXP[11]	VAUXN[11]	VAUXP[12]	VAUXN[12]	VAUXP[13]	VAUXN[13]	VAUXP[14]	VAUXN[14]	VAUXP[15]	VAUXN[15]	
0	63	1.02	1.02	1.8	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	1	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	//
1220	63	1.02	1.02	1.8	0.5	0	0.5031	0	0.5008	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5031	0	1	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	//
2440	63	1.02	1.02	1.8	0.51	0	0.5061	0	0.5015	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.5061	0	1	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	//
3660	63	1.02	1.02	1.8	0.51	0	0.5092	0	0.5023	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.5092	0	0.9999	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	//
4880	63	1.02	1.02	1.8	0.51	0	0.5123	0	0.5031	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.5123	0	0.9998	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	0.51	0	//
6100	63	1.02	1.02	1.8	0.52	0	0.5154	0	0.5038	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.5154	0	0.9998	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	//
7320	63	1.02	1.02	1.8	0.52	0	0.5184	0	0.5046	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.5184	0	0.9997	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	//
8540	63	1.02	1.02	1.8	0.52	0	0.5215	0	0.5054	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.5215	0	0.9995	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	0.52	0	//
9760	63	1.02	1.02	1.8	0.53	0	0.5246	0	0.5061	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.5246	0	0.9994	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	//
10980	63	1.02	1.02	1.8	0.53	0	0.5276	0	0.5069	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.5276	0	0.9992	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	//
12200	63	1.02	1.02	1.8	0.53	0	0.5307	0	0.5077	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.5307	0	0.9991	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	0.53	0	//
