Record Length,20480,,Source,CH2
Sample Interval, CH2:0.0000080000000,,Second,Volt
Vertical Units, CH2:V,,-0.06191999838,0.00
Vertical Scale, CH2:1.00,,-0.06191200018,0.00
Vertical Offset, CH2:-2.00000,,-0.06190399826,0.00
Horizontal Units,s,,-0.06189600006,0.00
Horizontal Scale,0.0049999999,,-0.06188799813,0.00
Model Number,SDS1102CNL+,,-0.06187999994,0.00
Serial Number,SDS10BA3163724,,-0.06187199801,0.00
Software Version,6.01.01.17,,-0.06186399981,0.04000
,,,-0.06185600162,0.00
,,,-0.06184799969,0.00
,,,-0.06184000149,0.04000
,,,-0.06183199957,0.08000
,,,-0.06182400137,0.08000
,,,-0.06181599945,0.00
,,,-0.06180800125,0.00
,,,-0.06179999933,0.00
,,,-0.06179200113,0.00
,,,-0.06178399920,0.00
,,,-0.06177600101,0.00
,,,-0.06176799908,0.04000
,,,-0.06176000088,0.00
,,,-0.06175199896,0.00
,,,-0.06174400076,0.08000
,,,-0.06173599884,0.00
,,,-0.06172800064,0.00
,,,-0.06171999872,0.04000
,,,-0.06171200052,0.00
,,,-0.06170399860,0.00
,,,-0.06169600040,0.00
,,,-0.06168799847,0.00
,,,-0.06168000028,0.00
,,,-0.06167199835,0.00
,,,-0.06166400015,0.00
,,,-0.06165599823,0.00
,,,-0.06164800003,0.00
,,,-0.06163999811,0.00
,,,-0.06163199991,0.08000
,,,-0.06162399799,0.00
,,,-0.06161599979,0.04000
,,,-0.06160800159,0.00
,,,-0.06159999967,0.04000
,,,-0.06159200147,0.00
,,,-0.06158399954,0.00
,,,-0.06157600135,0.00
,,,-0.06156799942,0.00
,,,-0.06156000122,0.00
,,,-0.06155199930,0.00
,,,-0.06154400110,0.00
,,,-0.06153599918,0.00
,,,-0.06152800098,0.00
,,,-0.06151999906,0.00
,,,-0.06151200086,0.00
,,,-0.06150399894,0.04000
,,,-0.06149600074,0.00
,,,-0.06148799881,0.00
,,,-0.06148000062,0.00
,,,-0.06147199869,0.00
,,,-0.06146400049,0.00
,,,-0.06145599857,0.00
,,,-0.06144800037,0.00
,,,-0.06143999845,-0.04000
,,,-0.06143200025,0.00
,,,-0.06142399833,0.04000
,,,-0.06141600013,0.00
,,,-0.06140799820,0.00
,,,-0.06140000001,0.00
,,,-0.06139199808,0.00
,,,-0.06138399988,0.00
,,,-0.06137600169,0.00
,,,-0.06136799976,0.00
,,,-0.06136000156,0.08000
,,,-0.06135199964,0.00
,,,-0.06134400144,0.00
,,,-0.06133599952,0.00
,,,-0.06132800132,0.00
,,,-0.06131999940,0.04000
,,,-0.06131200120,0.00
,,,-0.06130399927,0.00
,,,-0.06129600108,0.00
,,,-0.06128799915,0.00
,,,-0.06128000095,0.00
,,,-0.06127199903,0.00
,,,-0.06126400083,0.00
,,,-0.06125599891,0.00
,,,-0.06124800071,0.00
,,,-0.06123999879,0.04000
,,,-0.06123200059,0.00
,,,-0.06122399867,0.00
,,,-0.06121600047,0.00
,,,-0.06120799854,0.00
,,,-0.06120000035,0.00
,,,-0.06119199842,0.00
,,,-0.06118400022,0.00
,,,-0.06117599830,0.00
,,,-0.06116800010,0.00
,,,-0.06115999818,0.04000
,,,-0.06115199998,0.00
,,,-0.06114399806,0.00
,,,-0.06113599986,0.00
,,,-0.06112800166,0.00
,,,-0.06111999974,0.00
,,,-0.06111200154,0.04000
,,,-0.06110399961,0.00
,,,-0.06109600142,0.00
,,,-0.06108799949,0.00
,,,-0.06108000129,0.00
,,,-0.06107199937,0.00
,,,-0.06106400117,0.00
,,,-0.06105599925,0.00
,,,-0.06104800105,0.00
,,,-0.06103999913,0.00
,,,-0.06103200093,0.00
,,,-0.06102399901,0.00
,,,-0.06101600081,0.00
,,,-0.06100799888,0.00
,,,-0.06100000069,0.00
,,,-0.06099199876,0.00
,,,-0.06098400056,0.00
,,,-0.06097599864,0.00
,,,-0.06096800044,0.00
,,,-0.06095999852,0.00
,,,-0.06095200032,0.00
,,,-0.06094399840,0.00
,,,-0.06093600020,0.00
,,,-0.06092799827,0.00
,,,-0.06092000008,0.00
,,,-0.06091199815,0.00
,,,-0.06090399995,0.00
,,,-0.06089599803,0.00
,,,-0.06088799983,0.04000
,,,-0.06088000163,0.00
,,,-0.06087199971,0.00
,,,-0.06086400151,0.00
,,,-0.06085599959,0.00
,,,-0.06084800139,0.00
,,,-0.06083999947,0.00
,,,-0.06083200127,0.00
,,,-0.06082399935,0.00
,,,-0.06081600115,0.00
,,,-0.06080799922,0.00
,,,-0.06080000103,0.00
,,,-0.06079199910,0.00
,,,-0.06078400090,0.00
,,,-0.06077599898,0.00
,,,-0.06076800078,0.00
,,,-0.06075999886,0.00
,,,-0.06075200066,0.00
,,,-0.06074399874,0.08000
,,,-0.06073600054,0.00
,,,-0.06072799861,0.04000
,,,-0.06072000042,0.00
,,,-0.06071199849,0.00
,,,-0.06070400029,0.00
,,,-0.06069599837,0.00
,,,-0.06068800017,0.00
,,,-0.06067999825,0.00
,,,-0.06067200005,0.00
,,,-0.06066399813,0.00
,,,-0.06065599993,0.00
,,,-0.06064799801,0.00
,,,-0.06063999981,0.00
,,,-0.06063200161,0.00
,,,-0.06062399969,0.00
,,,-0.06061600149,0.04000
,,,-0.06060799956,0.00
,,,-0.06060000136,0.00
,,,-0.06059199944,0.00
,,,-0.06058400124,0.00
,,,-0.06057599932,0.00
,,,-0.06056800112,0.00
,,,-0.06055999920,0.00
,,,-0.06055200100,0.08000
,,,-0.06054399908,0.00
,,,-0.06053600088,0.04000
,,,-0.06052799895,0.00
,,,-0.06052000076,0.00
,,,-0.06051199883,0.04000
,,,-0.06050400063,0.00
,,,-0.06049599871,0.00
,,,-0.06048800051,0.00
,,,-0.06047999859,0.00
,,,-0.06047200039,0.00
,,,-0.06046399847,0.08000
,,,-0.06045600027,0.00
,,,-0.06044799834,0.00
,,,-0.06044000015,0.00
,,,-0.06043199822,0.00
,,,-0.06042400002,0.00
,,,-0.06041599810,0.00
,,,-0.06040799990,0.00
,,,-0.06040000170,0.00
,,,-0.06039199978,0.00
,,,-0.06038400158,0.00
,,,-0.06037599966,0.00
,,,-0.06036800146,0.00
,,,-0.06035999954,0.00
,,,-0.06035200134,0.04000
,,,-0.06034399942,0.00
,,,-0.06033600122,0.00
,,,-0.06032799929,0.08000
,,,-0.06032000110,0.04000
,,,-0.06031199917,0.00
,,,-0.06030400097,0.00
,,,-0.06029599905,0.00
,,,-0.06028800085,0.00
,,,-0.06027999893,0.00
,,,-0.06027200073,0.00
,,,-0.06026399881,0.00
,,,-0.06025600061,0.00
,,,-0.06024799868,0.00
,,,-0.06024000049,0.00
,,,-0.06023199856,0.00
,,,-0.06022400036,0.00
,,,-0.06021599844,0.00
,,,-0.06020800024,0.00
,,,-0.06019999832,0.00
,,,-0.06019200012,0.00
,,,-0.06018399820,0.00
,,,-0.06017600000,0.00
,,,-0.06016799808,0.00
,,,-0.06015999988,0.00
,,,-0.06015200168,0.00
,,,-0.06014399976,0.00
,,,-0.06013600156,0.00
,,,-0.06012799963,0.00
,,,-0.06012000144,0.00
,,,-0.06011199951,0.00
,,,-0.06010400131,0.00
,,,-0.06009599939,0.00
,,,-0.06008800119,0.00
,,,-0.06007999927,0.08000
,,,-0.06007200107,0.00
,,,-0.06006399915,0.00
,,,-0.06005600095,0.04000
,,,-0.06004799902,0.00
,,,-0.06004000083,0.00
,,,-0.06003199890,0.00
,,,-0.06002400070,0.00
,,,-0.06001599878,0.00
,,,-0.06000800058,0.00
,,,-0.05999999866,0.00
,,,-0.05999200046,0.00
,,,-0.05998399854,0.00
,,,-0.05997600034,0.00
,,,-0.05996799842,0.00
,,,-0.05996000022,0.00
,,,-0.05995199829,0.00
,,,-0.05994400010,0.00
,,,-0.05993599817,0.00
,,,-0.05992799997,0.00
,,,-0.05991999805,0.00
,,,-0.05991199985,0.00
,,,-0.05990400165,0.00
,,,-0.05989599973,0.04000
,,,-0.05988800153,0.00
,,,-0.05987999961,0.00
,,,-0.05987200141,0.00
,,,-0.05986399949,0.00
,,,-0.05985600129,0.00
,,,-0.05984799936,0.00
,,,-0.05984000117,0.00
,,,-0.05983199924,0.04000
,,,-0.05982400104,0.00
,,,-0.05981599912,0.00
,,,-0.05980800092,0.00
,,,-0.05979999900,0.00
,,,-0.05979200080,0.00
,,,-0.05978399888,0.00
,,,-0.05977600068,0.04000
,,,-0.05976799875,0.00
,,,-0.05976000056,0.00
,,,-0.05975199863,0.00
,,,-0.05974400043,0.00
,,,-0.05973599851,0.04000
,,,-0.05972800031,0.00
,,,-0.05971999839,0.08000
,,,-0.05971200019,0.00
,,,-0.05970399827,0.00
,,,-0.05969600007,0.00
,,,-0.05968799815,0.00
,,,-0.05967999995,0.00
,,,-0.05967199802,0.00
,,,-0.05966399983,-0.04000
,,,-0.05965600163,0.00
,,,-0.05964799970,0.00
,,,-0.05964000151,0.00
,,,-0.05963199958,0.00
,,,-0.05962400138,0.00
,,,-0.05961599946,0.00
,,,-0.05960800126,0.00
,,,-0.05959999934,0.00
,,,-0.05959200114,0.00
,,,-0.05958399922,0.00
,,,-0.05957600102,0.00
,,,-0.05956799909,0.04000
,,,-0.05956000090,0.00
,,,-0.05955199897,0.00
,,,-0.05954400077,0.00
,,,-0.05953599885,0.00
,,,-0.05952800065,0.00
,,,-0.05951999873,0.00
,,,-0.05951200053,0.00
,,,-0.05950399861,0.00
,,,-0.05949600041,0.00
,,,-0.05948799849,0.00
,,,-0.05948000029,0.00
,,,-0.05947199836,0.00
,,,-0.05946400017,0.04000
,,,-0.05945599824,0.00
,,,-0.05944800004,0.08000
,,,-0.05943999812,0.00
,,,-0.05943199992,0.00
,,,-0.05942399800,0.04000
,,,-0.05941599980,0.00
,,,-0.05940800160,0.00
,,,-0.05939999968,0.00
,,,-0.05939200148,0.00
,,,-0.05938399956,0.00
,,,-0.05937600136,0.00
,,,-0.05936799943,0.00
,,,-0.05936000124,0.00
,,,-0.05935199931,0.04000
,,,-0.05934400111,0.00
,,,-0.05933599919,0.04000
,,,-0.05932800099,0.00
,,,-0.05931999907,0.00
,,,-0.05931200087,0.00
,,,-0.05930399895,0.00
,,,-0.05929600075,0.00
,,,-0.05928799883,0.00
,,,-0.05928000063,0.00
,,,-0.05927199870,0.00
,,,-0.05926400051,-0.04000
,,,-0.05925599858,0.04000
,,,-0.05924800038,0.00
,,,-0.05923999846,0.00
,,,-0.05923200026,0.00
,,,-0.05922399834,0.00
,,,-0.05921600014,0.04000
,,,-0.05920799822,0.00
,,,-0.05920000002,0.00
,,,-0.05919199809,0.00
,,,-0.05918399990,0.00
,,,-0.05917600170,0.00
,,,-0.05916799977,0.00
,,,-0.05916000158,0.00
,,,-0.05915199965,0.04000
,,,-0.05914400145,0.00
,,,-0.05913599953,0.00
,,,-0.05912800133,0.00
,,,-0.05911999941,0.00
,,,-0.05911200121,0.00
,,,-0.05910399929,0.00
,,,-0.05909600109,0.00
,,,-0.05908799917,0.00
,,,-0.05908000097,0.00
,,,-0.05907199904,0.00
,,,-0.05906400084,0.00
,,,-0.05905599892,0.00
,,,-0.05904800072,-0.04000
,,,-0.05903999880,0.00
,,,-0.05903200060,0.00
,,,-0.05902399868,0.00
,,,-0.05901600048,0.00
,,,-0.05900799856,0.00
,,,-0.05900000036,0.00
,,,-0.05899199843,0.00
,,,-0.05898400024,0.00
,,,-0.05897599831,0.00
,,,-0.05896800011,0.00
,,,-0.05895999819,0.04000
,,,-0.05895199999,0.00
,,,-0.05894399807,0.00
,,,-0.05893599987,0.00
,,,-0.05892800167,0.00
,,,-0.05891999975,0.00
,,,-0.05891200155,0.00
,,,-0.05890399963,0.00
,,,-0.05889600143,0.00
,,,-0.05888799950,0.04000
,,,-0.05888000131,0.00
,,,-0.05887199938,0.00
,,,-0.05886400118,0.00
,,,-0.05885599926,0.00
,,,-0.05884800106,0.00
,,,-0.05883999914,0.00
,,,-0.05883200094,0.00
,,,-0.05882399902,0.00
,,,-0.05881600082,-0.04000
,,,-0.05880799890,0.00
,,,-0.05880000070,0.04000
,,,-0.05879199877,0.00
,,,-0.05878400058,0.00
,,,-0.05877599865,0.00
,,,-0.05876800045,0.00
,,,-0.05875999853,0.00
,,,-0.05875200033,0.00
,,,-0.05874399841,0.00
,,,-0.05873600021,0.00
,,,-0.05872799829,0.00
,,,-0.05872000009,0.04000
,,,-0.05871199816,0.00
,,,-0.05870399997,0.00
,,,-0.05869599804,0.00
,,,-0.05868799984,0.00
,,,-0.05868000165,0.00
,,,-0.05867199972,0.00
,,,-0.05866400152,0.00
,,,-0.05865599960,0.04000
,,,-0.05864800140,0.00
,,,-0.05863999948,0.00
,,,-0.05863200128,0.00
,,,-0.05862399936,0.00
,,,-0.05861600116,0.00
,,,-0.05860799924,0.00
,,,-0.05860000104,0.00
,,,-0.05859199911,0.00
,,,-0.05858400092,0.00
,,,-0.05857599899,0.00
,,,-0.05856800079,0.00
,,,-0.05855999887,0.00
,,,-0.05855200067,0.00
,,,-0.05854399875,0.00
,,,-0.05853600055,0.00
,,,-0.05852799863,0.00
,,,-0.05852000043,0.00
,,,-0.05851199850,0.00
,,,-0.05850400031,0.00
,,,-0.05849599838,0.00
,,,-0.05848800018,0.00
,,,-0.05847999826,0.04000
,,,-0.05847200006,0.00
,,,-0.05846399814,0.04000
,,,-0.05845599994,0.00
,,,-0.05844799802,0.08000
,,,-0.05843999982,0.00
,,,-0.05843200162,0.00
,,,-0.05842399970,0.00
,,,-0.05841600150,0.00
,,,-0.05840799958,0.04000
,,,-0.05840000138,0.00
,,,-0.05839199945,0.00
,,,-0.05838400126,0.00
,,,-0.05837599933,0.00
,,,-0.05836800113,0.00
,,,-0.05835999921,0.04000
,,,-0.05835200101,0.00
,,,-0.05834399909,0.00
,,,-0.05833600089,0.00
,,,-0.05832799897,0.00
,,,-0.05832000077,0.00
,,,-0.05831199884,0.00
,,,-0.05830400065,-0.04000
,,,-0.05829599872,0.00
,,,-0.05828800052,0.00
