Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000080000000 CH2:0.0000080000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.06191999838,2.24000,0.00
Vertical Scale,CH1:0.50 CH2:1.00,,-0.06191200018,2.24000,0.04000
Vertical Offset,CH1:-1.00000 CH2:-2.00000,,-0.06190399826,2.24000,0.00
Horizontal Units,s,,-0.06189600006,2.22000,0.00
Horizontal Scale,0.0049999999,,-0.06188799813,2.22000,0.00
Model Number,SDS1102CNL+,,-0.06187999994,2.24000,0.00
Serial Number,SDS10BA3163724,,-0.06187199801,2.20000,0.00
Software Version,6.01.01.17,,-0.06186399981,2.20000,0.00
,,,-0.06185600162,2.20000,0.00
,,,-0.06184799969,2.18000,0.04000
,,,-0.06184000149,2.20000,0.00
,,,-0.06183199957,2.18000,0.00
,,,-0.06182400137,2.18000,0.00
,,,-0.06181599945,2.16000,-0.04000
,,,-0.06180800125,2.16000,0.00
,,,-0.06179999933,2.16000,0.04000
,,,-0.06179200113,2.16000,0.00
,,,-0.06178399920,2.14000,0.00
,,,-0.06177600101,2.14000,0.00
,,,-0.06176799908,2.12000,0.08000
,,,-0.06176000088,2.12000,0.00
,,,-0.06175199896,2.10000,0.00
,,,-0.06174400076,2.12000,0.00
,,,-0.06173599884,2.10000,0.00
,,,-0.06172800064,2.08000,0.00
,,,-0.06171999872,2.06000,0.00
,,,-0.06171200052,2.06000,0.00
,,,-0.06170399860,2.08000,0.00
,,,-0.06169600040,2.04000,0.00
,,,-0.06168799847,2.04000,0.00
,,,-0.06168000028,2.02000,0.00
,,,-0.06167199835,2.02000,0.00
,,,-0.06166400015,2.00000,0.00
,,,-0.06165599823,2.00000,0.00
,,,-0.06164800003,2.00000,0.00
,,,-0.06163999811,1.98000,0.00
,,,-0.06163199991,1.98000,0.00
,,,-0.06162399799,1.98000,0.00
,,,-0.06161599979,1.98000,0.00
,,,-0.06160800159,1.94000,0.04000
,,,-0.06159999967,1.94000,0.08000
,,,-0.06159200147,1.94000,0.04000
,,,-0.06158399954,1.92000,0.00
,,,-0.06157600135,1.92000,0.00
,,,-0.06156799942,1.92000,0.04000
,,,-0.06156000122,1.92000,0.00
,,,-0.06155199930,1.88000,0.00
,,,-0.06154400110,1.88000,0.00
,,,-0.06153599918,1.88000,0.00
,,,-0.06152800098,1.86000,0.00
,,,-0.06151999906,1.84000,0.00
,,,-0.06151200086,1.84000,0.04000
,,,-0.06150399894,1.84000,0.08000
,,,-0.06149600074,1.84000,0.04000
,,,-0.06148799881,1.80000,0.00
,,,-0.06148000062,1.80000,0.04000
,,,-0.06147199869,1.80000,0.00
,,,-0.06146400049,1.80000,0.00
,,,-0.06145599857,1.78000,0.00
,,,-0.06144800037,1.78000,0.00
,,,-0.06143999845,1.78000,0.00
,,,-0.06143200025,1.74000,0.00
,,,-0.06142399833,1.74000,0.00
,,,-0.06141600013,1.74000,0.04000
,,,-0.06140799820,1.72000,0.00
,,,-0.06140000001,1.72000,0.08000
